CAN_ID,count,period_mean,period_std,period_p01,period_min,scalar_lo,scalar_hi,scalar_delta_mean,scalar_delta_q99,byte0_cls,byte0_lo,byte0_hi,byte0_maxstep,byte1_cls,byte1_lo,byte1_hi,byte1_maxstep,byte2_cls,byte2_lo,byte2_hi,byte2_maxstep,byte3_cls,byte3_lo,byte3_hi,byte3_maxstep,byte4_cls,byte4_lo,byte4_hi,byte4_maxstep,byte5_cls,byte5_lo,byte5_hi,byte5_maxstep,byte6_cls,byte6_lo,byte6_hi,byte6_maxstep,byte7_cls,byte7_lo,byte7_hi,byte7_maxstep
0x02a0,35480,0.010001897811889648,0.0005479476894877382,0.007626292228698731,0.006245851516723633,116672803691776.0,6.917654496537796e+18,2.305843009213694e+18,6.917529027641082e+18,dynamic,0.0,96.0,96,static,0.0,0.0,0,drift,106.0,114.0,1,static,29.0,29.0,0,static,1.0,1.0,0,static,4.0,4.0,0,static,221.0,221.0,0,static,0.0,0.0,0
0x0316,35481,0.010000944137573242,0.0007515608223689074,0.006707980871200562,0.005666971206665039,3.655481440716949e+17,3.862865950509575e+18,4398046576640.0,1197195717749633.2,dynamic,5.0,53.0,48,dynamic,0.0,155.0,29,dynamic,0.0,252.0,252,drift,9.0,32.0,2,dynamic,0.0,155.0,29,dynamic,19.0,45.0,10,drift,0.0,48.0,2,drift,121.0,125.0,1
0x0329,35480,0.010001182556152344,0.0006211651203498711,0.007295793056488037,0.00637507438659668,9.14370448519594e+17,1.5906290658099331e+19,0.0,1.498797955988901e+19,dynamic,12.0,220.0,208,drift,175.0,190.0,1,drift,126.0,127.0,1,static,20.0,20.0,0,drift,17.0,18.0,1,dynamic,32.0,99.0,29,dynamic,0.0,69.0,11,static,20.0,20.0,0
0x0545,35480,0.010001182556152344,0.0006436190914345162,0.006423065662384033,0.00504612922668457,1.5564440900602954e+19,1.5633965241325322e+19,2.054767329987789e+16,6.896136929411072e+16,static,216.0,216.0,0,dynamic,0.0,247.0,255,drift,0.0,1.0,1,drift,137.0,144.0,6,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x02b0,35424,0.010006904602050781,0.00030252461059916317,0.008322402954101563,0.007790088653564453,1.4411522154178806e+17,1.8302347441376068e+19,7.20575937862697e+16,1.671707985748582e+19,dynamic,2.0,253.0,255,dynamic,0.0,255.0,255,dynamic,0.0,65.0,13,static,7.0,7.0,0,dynamic,1.0,254.0,255,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x043f,35449,0.009999990463256836,0.0005047291543484251,0.007375525951385498,0.0067751407623291016,1.812104835989709e+16,1.4214874448955445e+19,393216.0,16383744.0,dynamic,0.0,197.0,192,drift,64.0,69.0,7,static,96.0,96.0,0,static,255.0,255.0,0,drift,90.0,105.0,1,dynamic,0.0,254.0,255,drift,0.0,32.0,1,dynamic,0.0,10.0,27
0x0370,35449,0.009999990463256836,0.00044765844347872784,0.007562567949295044,0.006766796112060547,3940649673949184.0,1.7732987957280768e+16,0.0,0.0,dynamic,0.0,0.0,83,dynamic,14.0,63.0,12,static,0.0,0.0,0,dynamic,0.0,15.0,13,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x0440,35449,0.009999990463256836,0.0005664953176871838,0.007377335548400879,0.006724834442138672,3.674937300218381e+18,1.8376146635393735e+19,393221.0,1099514183576.06,dynamic,51.0,255.0,208,dynamic,0.0,5.0,14,drift,0.0,48.0,1,dynamic,0.0,32.0,128,dynamic,101.0,255.0,155,dynamic,0.0,254.0,255,drift,0.0,32.0,1,dynamic,0.0,127.0,127
0x04f0,17725,0.020003080368041992,0.00045553941257247096,0.017432333707809448,0.015853166580200195,549760992020.0,2.7585097479553812e+16,0.0,281474976710656.0,static,0.0,0.0,0,drift,0.0,98.0,3,static,0.0,0.0,0,static,128.0,128.0,0,static,0.0,0.0,0,drift,79.0,95.0,1,static,3.0,3.0,0,static,20.0,20.0,0
0x05f0,7090,0.04999899864196777,0.0006109905572150988,0.04690290641784668,0.04661989212036133,1.7582052945254416e+19,1.7582052945254416e+19,0.0,0.0,static,244.0,244.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x05a0,355,0.9991185665130615,0.000708491271798579,0.9952001554965972,0.9951260089874268,0.0,0.0,0.0,0.0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x05a2,355,0.9991229772567749,0.0008764741154969407,0.9944868905544281,0.9944169521331787,2.884118084551967e+17,3.255500127065866e+17,3.659724453052416e+16,3.713820425138995e+16,static,4.0,4.0,0,dynamic,0.0,132.0,132,dynamic,145.0,165.0,20,static,3.0,3.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
0x0690,3545,0.09999799728393555,0.0003651032194599673,0.097733416557312,0.09663081169128418,2686517248.0,2686582784.0,0.0,0.0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0,static,160.0,160.0,0,drift,33.0,34.0,1,static,0.0,0.0,0,static,0.0,0.0,0
0x00a0,3548,0.0999300479888916,0.0007622423318969489,0.09764200019836426,0.09734892845153809,4.3600448847438e+18,1.8194926419585913e+19,7.208838036350566e+16,1.8735417789273329e+18,dynamic,60.0,252.0,44,drift,123.0,134.0,1,dynamic,0.0,252.0,252,drift,9.0,32.0,5,drift,0.0,48.0,3,dynamic,32.0,93.0,34,drift,2.0,4.0,2,static,0.0,0.0,0
0x00a1,3548,0.0999298095703125,0.000764565073030472,0.09762418603897095,0.09734392166137695,8.250875992772444e+18,1.0340827694849065e+19,83886080.0,2.1617278216411546e+17,dynamic,114.0,143.0,13,drift,128.0,131.0,1,static,0.0,0.0,0,static,0.0,0.0,0,dynamic,23.0,97.0,17,static,0.0,0.0,0,static,0.0,0.0,0,static,0.0,0.0,0
